Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
BUENOS AIRES,Baradero,Irineo Portela,6070020,0,0,0,1,0,0,0,78,79
BUENOS AIRES,Baradero,Santa Coloma,6070030,0,0,0,0,0,0,0,55,55
BUENOS AIRES,Benito Juárez,Barker,6084010,0,0,1,10,0,2,0,70,83
BUENOS AIRES,Benito Juárez,Benito Juárez  (Est. Juárez),6084020,650,0,20,563,4,1,0,147,1385
BUENOS AIRES,Benito Juárez,López,6084030,0,0,0,4,0,0,0,12,16
BUENOS AIRES,Benito Juárez,Villa Cacique  (Est. Alfredo Fortabat),6084050,0,0,0,20,0,1,0,100,121
BUENOS AIRES,Berazategui,Berazategui,6091010,247,16915,38,29584,15,4,0,49,46852
BUENOS AIRES,Berazategui,Berazategui Oeste,6091010,16,130,0,15808,0,0,0,0,15954
BUENOS AIRES,Berazategui,Carlos Tomás Sourigues,6091010,1,1429,0,1904,0,0,0,0,3334
BUENOS AIRES,Berazategui,Centro Agrícola El Pato,6091010,1349,2061,0,672,0,0,0,16,4098
BUENOS AIRES,Berazategui,Guillermo E. Hudson,6091010,74,6085,2,9798,1,0,0,0,15960
BUENOS AIRES,Berazategui,Juan María Gutierrez,6091010,94,2042,2,5666,0,0,0,90,7894
BUENOS AIRES,Berazategui,Pereyra,6091010,0,245,1,431,0,0,0,0,677
BUENOS AIRES,Berazategui,Plátanos,6091010,0,1828,0,2320,1,0,0,0,4149
BUENOS AIRES,Berazategui,Ranelagh,6091010,10,2942,13,7750,0,1,0,0,10716
BUENOS AIRES,Berazategui,Villa España,6091010,1,1115,0,2342,0,0,0,0,3458
BUENOS AIRES,Berisso,Berisso,6098010,3116,14349,21,7668,6,0,0,413,25573
BUENOS AIRES,Berisso,Villa Nueva,6098010,0,0,0,132,0,0,0,250,382
BUENOS AIRES,Berisso,Barrio El Carmen (Este),6098010,0,0,0,132,0,0,0,250,382
BUENOS AIRES,Berisso,Villa Arguello,6098010,0,0,0,132,0,0,0,250,382
BUENOS AIRES,Berisso,Villa Progreso,6098010,0,0,0,132,0,0,0,250,382
BUENOS AIRES,Bolívar,OTROS,Sin Datos,0,1,0,1,0,0,0,0,2
BUENOS AIRES,Bolívar,Pirovano,6105050,0,0,0,0,50,0,0,45,95
BUENOS AIRES,Bolívar,San Carlos de Bolívar  (Est. Bolívar),6105060,727,5178,2,10,0,1,0,255,6173
BUENOS AIRES,Bolívar,Urdampilleta,6105070,0,0,5,2,0,0,0,71,78
BUENOS AIRES,Bolívar,Hale,6105010,10,0,0,0,0,0,0,0,10
BUENOS AIRES,Bragado,Bragado,6112010,500,3281,10,241,0,0,0,212,4244
BUENOS AIRES,Bragado,General O'Brien,6112030,321,0,0,83,0,0,0,36,440
BUENOS AIRES,Bragado,Irala,6112040,0,2,0,0,0,0,0,22,24
BUENOS AIRES,Bragado,Mechita (Est. Mecha),6112070,10,8,0,0,0,0,0,8,26
BUENOS AIRES,Bragado,Warnes,6112090,135,0,0,0,9,0,0,7,151
BUENOS AIRES,Bragado,Comodoro Py,6112020,0,0,0,220,0,0,0,2,222
BUENOS AIRES,Bragado,Olascoaga,6112080,0,0,0,0,0,0,0,40,40
BUENOS AIRES,Brandsen,Coronel Brandsen,6119050,1250,420,1,3377,1,0,0,1208,6257
BUENOS AIRES,Brandsen,Jeppener,6119070,815,0,0,2,0,0,0,0,817
BUENOS AIRES,Campana,Campana,6126030,990,18544,1,11492,18,3,0,44,31092
BUENOS AIRES,Campana,Lomas del Río Luján (Est. Río Luján),6126040,0,56,0,0,0,0,0,0,56
BUENOS AIRES,Campana,Alto Los Cardales,6126010,0,0,0,227,0,0,0,41,268
BUENOS AIRES,Campana,Barrio Los Pioneros,6126020,0,0,0,0,0,0,0,60,60
BUENOS AIRES,Campana,Chacras Del Río Luján,6126035,0,0,0,0,0,0,0,35,35
BUENOS AIRES,Cañuelas,Alejandro Petión,6134010,102,896,7,0,0,0,0,41,1046
BUENOS AIRES,Cañuelas,Barrio El Taladro,6134020,0,0,0,200,0,0,0,0,200
BUENOS AIRES,Cañuelas,Cañuelas,6134030,909,5291,30,2419,0,1,0,526,9176
BUENOS AIRES,Cañuelas,Máximo Paz,6134050,0,2536,0,1,0,0,0,270,2807
BUENOS AIRES,Cañuelas,Santa Rosa,6134060,0,0,0,0,0,2,0,233,235
BUENOS AIRES,Cañuelas,Uribelarrea,6134070,63,0,0,686,0,0,0,141,890
BUENOS AIRES,Cañuelas,Vicente Casares,6134080,175,0,2,0,0,0,0,25,202
BUENOS AIRES,Cañuelas,Barrio Belgrano-Máximo Paz,6134030,0,0,0,0,0,0,0,48,48
BUENOS AIRES,Cañuelas,Gobernador Udaondo,6134040,0,0,0,1,0,0,0,20,21
BUENOS AIRES,Capitán Sarmiento,Capitán Sarmiento,6140010,144,4173,0,84,0,0,0,89,4490
BUENOS AIRES,Capitán Sarmiento,La Luisa,6140020,0,0,0,0,0,0,0,44,44
BUENOS AIRES,Carlos Casares,Cadret,6147020,0,0,0,0,1,0,0,48,49
BUENOS AIRES,Carlos Casares,Carlos Casares,6147030,1167,1,7,2870,0,0,0,2461,6506
BUENOS AIRES,Carlos Casares,La Sofía,6147060,0,0,0,0,0,0,0,1,1
BUENOS AIRES,Carlos Casares,Moctezuma,6147080,0,0,0,0,0,0,0,161,161
BUENOS AIRES,Carlos Casares,Santo Tomás,6147095,0,0,0,0,0,0,0,44,44
BUENOS AIRES,Carlos Casares,Smith,6147100,0,0,0,0,0,0,0,190,190
BUENOS AIRES,Carlos Casares,Mauricio Hirsch,6147070,0,0,0,0,0,0,0,47,47
BUENOS AIRES,Carlos Casares,Bellocq,6147010,0,0,1,0,0,0,0,0,1
BUENOS AIRES,Carlos Tejedor,Carlos Tejedor,6154010,12,1263,1,68,0,0,0,499,1843
BUENOS AIRES,Carlos Tejedor,Colonia Seré,6154020,0,0,0,0,0,0,0,81,81
BUENOS AIRES,Carlos Tejedor,Tres Algarrobos  (Est. Cuenca),6154050,0,0,0,0,0,1,0,198,199
BUENOS AIRES,Carlos Tejedor,Curarú,6154030,0,0,0,0,0,0,0,16,16
BUENOS AIRES,Carlos Tejedor,Timote,6154040,0,0,0,0,0,0,0,61,61
BUENOS AIRES,Carmen de Areco,Carmen de Areco,6161010,322,1769,5,8,1,0,0,1045,3150
BUENOS AIRES,Carmen de Areco,Pueblo Gouin,6161020,0,0,0,0,0,0,0,31,31
BUENOS AIRES,Carmen de Areco,Tres Sargentos,6161030,0,0,0,0,0,0,0,107,107
BUENOS AIRES,Castelli,Castelli,6168010,52,1109,0,1121,0,2,0,28,2312
BUENOS AIRES,Castelli,Centro Guerrero,6168020,0,0,0,46,0,0,0,3,49
BUENOS AIRES,Castelli,Cerro De La Gloria,6168030,0,0,0,7,0,0,0,0,7
BUENOS AIRES,Chacabuco,Castilla,6210010,0,0,0,0,0,0,0,274,274
BUENOS AIRES,Chacabuco,Chacabuco,6210020,1334,10136,15,1923,0,0,0,130,13538
BUENOS AIRES,Chacabuco,O'Higgins,6210040,260,0,0,220,0,0,0,12,492
BUENOS AIRES,Chacabuco,Rawson,6210050,59,0,0,383,0,0,0,134,576
BUENOS AIRES,Chascomús,Chascomús,6217010,1847,7930,79,1168,0,1,0,0,11025
BUENOS AIRES,Chascomús,Manuel J. Cobo  (Est. Lezama),6217020,98,1879,0,0,0,0,444,0,2421
BUENOS AIRES,Chascomús,Barrio San Cayetano,6217020,0,0,0,132,0,0,0,0,132
BUENOS AIRES,Chivilcoy,Chivilcoy,6224010,2031,8936,117,3919,1,1,0,5530,20535
BUENOS AIRES,Chivilcoy,La Rica,6224040,39,0,0,0,2,0,0,97,138
BUENOS AIRES,Chivilcoy,Moquehuá,6224050,0,338,0,563,0,0,0,30,931
BUENOS AIRES,Chivilcoy,Ramón Biaus,6224060,3,0,0,0,0,0,0,77,80
BUENOS AIRES,Chivilcoy,San Sebastián,6224070,3,0,0,0,0,0,0,49,52
BUENOS AIRES,Chivilcoy,Gorostiaga,6224030,55,0,0,0,0,0,0,2,57
BUENOS AIRES,Chivilcoy,Benitez,6224005,0,0,0,0,0,0,0,19,19
BUENOS AIRES,Chivilcoy,Emilio Ayarza,6224020,0,0,0,0,0,0,0,5,5
BUENOS AIRES,Colón,Colón,6175010,4051,1777,0,4677,0,0,0,20,10525
BUENOS AIRES,Colón,Sarasa,6175040,0,0,0,0,0,0,0,14,14
BUENOS AIRES,Coronel de Marina L. Rosales,Balneario Pehuen Co,6182020,0,0,0,0,0,1,0,0,1
BUENOS AIRES,Coronel de Marina L. Rosales,Punta Alta  (Est Almirante Solier),6182030,634,21380,47,12,0,6,0,0,22079
BUENOS AIRES,Coronel de Marina L. Rosales,Villa General Arias  (Est. Kilómetro 638),6182050,0,0,0,165,0,0,0,0,165
BUENOS AIRES,Coronel de Marina L. Rosales,Pago Chico,6182025,0,0,0,0,0,0,0,42,42
BUENOS AIRES,Coronel de Marina L. Rosales,Bajo Hondo,6182010,0,0,0,25,0,0,0,53,78
BUENOS AIRES,Coronel de Marina L. Rosales,Villa del Mar,6182030,0,0,0,101,0,0,0,0,101
BUENOS AIRES,Coronel Dorrego,Coronel Dorrego,6189030,204,1370,3,9,0,0,0,32,1618
BUENOS AIRES,Coronel Dorrego,El Perdido  (Est. José A. Guisasola),6189040,0,0,0,32,0,0,0,5,37
BUENOS AIRES,Coronel Dorrego,Oriente,6189070,0,0,0,607,0,0,0,48,655
BUENOS AIRES,Coronel Dorrego,Balneario Marisol,6189020,0,0,0,402,0,0,0,0,402
BUENOS AIRES,Coronel Pringles,Coronel Pringles  (Est. Pringles),6196010,555,2056,3,5,0,0,0,171,2790
BUENOS AIRES,Coronel Pringles,Indio Rico,6196040,0,0,1,24,0,0,0,3,28
BUENOS AIRES,Coronel Suárez,Coronel Suárez,6203020,691,2640,84,1613,0,0,0,785,5813
BUENOS AIRES,Coronel Suárez,Huanguelén,6203050,0,0,1,1630,0,0,0,536,2167
BUENOS AIRES,Coronel Suárez,Pasman,6203060,0,0,0,0,0,0,0,71,71
BUENOS AIRES,Coronel Suárez,San José,6203070,0,61,0,795,0,0,0,0,856
BUENOS AIRES,Coronel Suárez,Santa María,6203080,0,25,0,516,0,0,0,0,541
BUENOS AIRES,Coronel Suárez,Santa Trinidad,6203090,0,76,0,648,0,0,0,0,724
BUENOS AIRES,Coronel Suárez,Villa La Arcadia,6203100,0,104,0,127,0,0,0,0,231
BUENOS AIRES,Daireaux,Daireaux,6231030,226,0,0,0,194,50,0,339,809
BUENOS AIRES,Daireaux,Salazar,6231060,0,0,0,0,0,0,0,79,79
BUENOS AIRES,Dolores,Dolores,6238010,1045,10797,1,531,0,0,325,0,12699
BUENOS AIRES,Dolores,Sevigne,6238020,0,0,0,0,0,0,0,1,1
BUENOS AIRES,Ensenada,Ensenada,6245010,1196,11898,16,2927,6,0,0,2092,18135
BUENOS AIRES,Ensenada,Villa Catela,6245010,0,0,0,0,0,0,0,7,7
BUENOS AIRES,Escobar,Belen de Escobar,6252010,1614,16844,21,11953,382,1,0,99,30914
BUENOS AIRES,Escobar,El Cazador,6252010,0,972,0,2588,0,0,0,0,3560
BUENOS AIRES,Escobar,Garín,6252010,3596,10274,3,4713,61,1,0,11,18659
BUENOS AIRES,Escobar,Ingeniero Maschwitz,6252010,437,4278,3,4051,1,0,0,300,9070
BUENOS AIRES,Escobar,Loma Verde,6252010,0,0,0,1278,0,0,0,0,1278
BUENOS AIRES,Escobar,Maquinista F. Savio (este),6252010,204,5031,0,131,2,0,0,14,5382
BUENOS AIRES,Escobar,Matheu,6252010,795,2723,2,51,16,1,0,58,3646
BUENOS AIRES,Esteban Echeverría,9 De Abril,6260010,54,7100,6,12,1,0,0,153,7326
BUENOS AIRES,Esteban Echeverría,Canning,6260010,2,4022,0,1173,1,0,0,60,5258
BUENOS AIRES,Esteban Echeverría,El Jagüel,6260010,0,5830,0,4,2,1,0,89,5926
BUENOS AIRES,Esteban Echeverría,Luis Guillón,6260010,3,7690,2,1810,1,0,0,77,9583
BUENOS AIRES,Esteban Echeverría,Monte Grande,6260010,60,27712,57,28477,9,3,0,662,56980
BUENOS AIRES,Esteban Echeverría,Zona Aeropuerto Internacional Ezeiza,6260010,2,0,0,0,0,0,0,341,343
BUENOS AIRES,Exaltación de la Cruz,Arroyo de la Cruz,6266010,0,0,0,0,0,0,0,164,164
BUENOS AIRES,Exaltación de la Cruz,Capilla del Señor  (Est. Capilla),6266020,294,0,5,100,0,0,0,0,399
BUENOS AIRES,Exaltación de la Cruz,Los Cardales,6266040,0,7649,2,0,0,2,0,31,7684
BUENOS AIRES,Exaltación de la Cruz,Parada Orlando,6266050,0,0,0,0,0,0,0,5,5
BUENOS AIRES,Exaltación de la Cruz,Parada Robles - Pavón,6266060,1150,0,0,1906,0,0,0,164,3220
BUENOS AIRES,Exaltación de la Cruz,El Remanso,6266030,397,0,0,335,0,0,0,43,775
BUENOS AIRES,Ezeiza,Aeropuerto Internacional Ezeiza,6270010,190,0,2,7,0,1,0,0,200
BUENOS AIRES,Ezeiza,Canning,6270010,58,1894,1,1258,1,0,0,79,3291
BUENOS AIRES,Ezeiza,Carlos Spegazzini,6270010,23,4726,2,1977,0,1,0,1,6730
BUENOS AIRES,Ezeiza,José Maria Ezeiza,6270010,38,12953,13,13653,0,2,0,91,26750
BUENOS AIRES,Ezeiza,La Unión,6270010,0,8420,1,836,0,2,0,0,9259
BUENOS AIRES,Ezeiza,OTROS,Sin Datos,3,1,0,5,0,0,0,0,9
BUENOS AIRES,Ezeiza,Tristán Suarez,6270010,34,10010,5,5319,0,0,0,3,15371
BUENOS AIRES,Florencio Varela,Bosques,6274010,0,6917,3,6282,13,0,0,266,13481
BUENOS AIRES,Florencio Varela,Estanislao Severo Zeballos,6274010,3,2289,4,4587,0,0,0,0,6883
BUENOS AIRES,Florencio Varela,Florencio Varela,6274010,314,16290,28,31612,233,2,0,810,49289
BUENOS AIRES,Florencio Varela,Gobernador Julio A. Costa,6274010,0,7005,5,2496,0,0,0,0,9506
BUENOS AIRES,Florencio Varela,Ingeniero Juan Allan,6274010,424,5318,0,2018,3,0,0,0,7763
BUENOS AIRES,Florencio Varela,La Capilla,6274010,0,0,0,3,0,0,0,0,3
BUENOS AIRES,Florencio Varela,la rotonda,6274010,30,0,0,42,0,0,0,0,72
BUENOS AIRES,Florencio Varela,Villa Brown,6274010,0,514,0,312,0,0,0,0,826
BUENOS AIRES,Florencio Varela,Villa San Luis,6274010,0,891,0,305,0,0,0,0,1196
BUENOS AIRES,Florencio Varela,Villa Santa Rosa,6274010,3,3339,1,373,0,0,0,0,3716
BUENOS AIRES,Florencio Varela,Villa Vatteone,6274010,4,3860,0,4009,0,0,0,0,7873
BUENOS AIRES,Florentino Ameghino,Blaquier,6277010,0,0,0,0,0,1,0,5,6
BUENOS AIRES,Florentino Ameghino,Florentino Ameghino,6277020,58,0,0,329,0,0,0,0,387
BUENOS AIRES,Florentino Ameghino,Porvenir,6277030,0,0,0,0,0,0,0,2,2
BUENOS AIRES,General Alvarado,Comandante Nicanor Otamendi,6280010,0,0,3,930,0,1,0,32,966
BUENOS AIRES,General Alvarado,Mar del Sur,6280020,0,0,1,0,0,0,0,142,143
BUENOS AIRES,General Alvarado,Mechongué,6280030,256,0,0,0,0,0,0,3,259
BUENOS AIRES,General Alvarado,Miramar,6280040,4318,1613,71,239,2,2,0,960,7205
BUENOS AIRES,General Alvarado,Centinela Del Mar,6280005,0,0,0,0,0,0,0,1,1
BUENOS AIRES,General Arenales,Arribeños,6294010,218,401,1,291,16,0,0,274,1201
BUENOS AIRES,General Arenales,Ascensión,6294020,1200,395,0,0,250,0,0,140,1985
BUENOS AIRES,General Arenales,Ferré,6294040,0,152,0,391,0,0,0,383,926
BUENOS AIRES,General Arenales,General Arenales,6294050,0,863,1,439,0,0,0,367,1670
BUENOS AIRES,General Arenales,La Angelita,6294060,26,0,0,0,2,0,0,73,101
BUENOS AIRES,General Arenales,La Trinidad,6294070,0,15,0,2,0,0,0,114,131
BUENOS AIRES,General Belgrano,General Belgrano,6301010,433,1916,5,2,0,1,0,884,3241
BUENOS AIRES,General Belgrano,Gorchs,6301020,0,0,0,0,0,1,0,44,45
BUENOS AIRES,General Guido,General Guido,6308010,0,0,1,302,0,0,0,228,531
BUENOS AIRES,General Guido,Labarden,6308020,0,0,0,0,0,0,0,72,72
BUENOS AIRES,General Juan Madariaga,General Juan Madariaga,6315010,352,486,8,6041,0,1,0,0,6888
BUENOS AIRES,General La Madrid,General La Madrid,6322010,1948,0,70,1149,0,0,0,265,3432
BUENOS AIRES,General La Madrid,Las Martinetas,6322030,0,0,0,0,0,0,0,16,16
BUENOS AIRES,General Las Heras,General Las Heras  (Est. Las Heras),6329020,156,2222,3,0,1,0,0,1,2383
BUENOS AIRES,General Las Heras,Lozano,6329020,0,0,0,0,0,1,0,0,1
BUENOS AIRES,General Las Heras,Villars,6329060,0,270,1,1,0,0,0,0,272
BUENOS AIRES,General Lavalle,General Lavalle,6336020,0,358,0,4,0,1,0,69,432
BUENOS AIRES,General Lavalle,OTROS,Sin Datos,0,0,0,1,0,0,0,0,1
BUENOS AIRES,General Lavalle,Pavón,6336030,0,0,0,201,22,0,0,3,226
BUENOS AIRES,General Lavalle,Chacras de San Clemente,6336020,0,0,0,0,0,0,0,1,1
BUENOS AIRES,General Paz,Loma Verde,6343020,0,0,0,0,0,0,0,214,214
BUENOS AIRES,General Paz,Ranchos,6343030,1206,0,10,773,0,0,0,1449,3438
BUENOS AIRES,General Paz,Villanueva  (Ap. Río Salado),6343040,0,0,0,0,0,0,0,181,181
BUENOS AIRES,General Pinto,Colonia San Ricardo  (Est. Iriarte),6351010,244,0,0,5,0,0,0,21,270
BUENOS AIRES,General Pinto,General Pinto,6351020,0,0,3,0,0,1,0,0,4
BUENOS AIRES,General Pinto,Germania  (Est. Mayor José Orellano),6351030,1112,0,0,0,0,0,0,0,1112
BUENOS AIRES,General Pinto,Villa Francia  (Est. Coronel Granada),6351040,0,0,0,332,0,2,0,0,334
BUENOS AIRES,General Pueyrredón,Barrio Colinas Verdes,6351020,0,0,0,0,0,0,0,55,55
BUENOS AIRES,General Pueyrredón,Barrio El Boquerón,6357020,0,0,0,0,0,0,0,99,99
BUENOS AIRES,General Pueyrredón,Barrio El Casal,6357110,0,0,0,0,0,0,0,94,94
BUENOS AIRES,General Pueyrredón,Barrio El Coyunco,6357110,0,0,0,25,0,0,0,87,112
BUENOS AIRES,General Pueyrredón,Barrio La Gloria,6357050,0,0,0,0,0,0,0,350,350
BUENOS AIRES,General Pueyrredón,Barrio Santa Paula,6357060,0,0,0,127,0,0,0,97,224
BUENOS AIRES,General Pueyrredón,Batán,6357070,1313,0,0,1514,0,1,0,607,3435
BUENOS AIRES,General Pueyrredón,Chapadmalal,6357080,0,0,0,2946,0,1,0,479,3426
BUENOS AIRES,General Pueyrredón,Estación Chapadmalal,6357100,246,0,0,93,0,0,0,208,547
BUENOS AIRES,General Pueyrredón,Mar del Plata,6357110,9494,115853,512,146438,34,6,0,1460,273797
BUENOS AIRES,General Pueyrredón,OTROS,Sin Datos,0,0,0,151,0,0,0,0,151
BUENOS AIRES,General Pueyrredón,Sierra de los Padres,6357120,358,0,0,644,434,0,0,222,1658
BUENOS AIRES,General Pueyrredón,Camet,6357090,542,0,0,1788,0,0,0,361,2691
BUENOS AIRES,General Pueyrredón,El Marquesado,6357090,0,0,0,0,0,0,0,8,8
BUENOS AIRES,General Rodríguez,General Rodríguez,6364030,666,13073,20,8685,6074,1,0,504,29023
BUENOS AIRES,General Rodríguez,Barrio Ruta 24 Kilómetro 10,6364030,0,0,0,2,0,0,0,0,2
BUENOS AIRES,General San Martín,Barrio Parque General San Martin,6371010,0,0,3,3460,0,0,0,2,3465
BUENOS AIRES,General San Martín,Billinghurst,6371010,0,993,0,3605,0,0,0,0,4598
BUENOS AIRES,General San Martín,Ciudad Del Libertador General San Martin,6371010,1782,28388,5,6405,85,4,0,4,36673
BUENOS AIRES,General San Martín,OTROS,Sin Datos,11,0,0,0,0,0,0,0,11
BUENOS AIRES,General San Martín,Va Ma Irene De Los Remedios De Escalada,6371010,0,97,0,0,0,0,0,0,97
BUENOS AIRES,General San Martín,Villa Ayacucho,6371010,0,157,0,454,0,0,0,0,611
BUENOS AIRES,General San Martín,Villa Ballester,6371010,534,22549,1,8980,32,0,0,347,32443
